Al,Co,Fe,Ni,Si,Mn,Cr,Mo,Ti,Cu,Zr,V,Nb,Sn,Zn,Ta,Hf,W,B,C,FCC,BCC,IM
0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.303,0,0.303,0.0909,0.303,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.0294,0.2941,0,0.2941,0.0882,0.2941,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.0833,0.2778,0,0.2778,0.0833,0.2778,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.1316,0.2632,0,0.2632,0.0789,0.2632,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.175,0.25,0,0.25,0.075,0.25,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.2326,0.2326,0,0.2326,0.0698,0.2326,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.2826,0.2174,0,0.2174,0.0652,0.2174,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.3125,0.2083,0,0.2083,0.0625,0.2083,0,0,0,0,0,0,0,0,1,0
0.1739,0.1739,0.1739,0.1739,0,0,0.1739,0,0.087,0.0435,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1667,0.1667,0.1667,0.1667,0,0,0.1667,0,0.0833,0.0833,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0.2,0.1,0.2,0,0.2,0,0.2,0,0,0.1,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.2353,0.2353,0,0.2353,0.0588,0.2353,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.2222,0.2222,0,0.2222,0.1111,0.2222,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.2105,0.2105,0,0.2105,0.1579,0.2105,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.1818,0.1818,0,0.1818,0.2727,0.1818,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0.1667,0.1667,0,0.1667,0.3333,0.1667,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0.1429,0.1429,0,0.1429,0.4286,0.1429,0,0,0,0,0,0,0,0,1,1
0.1739,0.1739,0.1739,0.1739,0,0,0.1739,0,0,0,0,0,0.1304,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0.2,0,0.2,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0.25,0,0,0,1,0
0,0.25,0.25,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0,0
0,0.2381,0.2381,0.2381,0,0,0,0.0476,0,0,0,0.2381,0,0,0,0,0,0,0,0,1,0,1
